scaffold	name1	name2	coverage_overlap	compared_bases_count	percent_genome_compared	length	consensus_SNPs	population_SNPs	conANI	popANI
TOBG_MED-806.fna_86155	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9220757124627816	21678	0.9215661267695447	23523	214	0	0.9901282406126026	1.0
TOBG_NAT-118.fna_153380	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8119525618169134	10475	0.8114493764040592	12909	39	0	0.9962768496420048	1.0
TOBG_NAT-154.fna_132931	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.0	0	0.0	12359	0	0		
TOBG_MED-1001.fna_55509	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8720040596455617	22339	0.8656849447781437	25805	143	0	0.99359863915126	1.0
TOBG_NAT-118.fna_MHASMcontig_1648532	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8495395792852919	10056	0.8478205884832645	11861	1	0	0.9999005568814638	1.0
TOBG_NAT-118.fna_158551	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.0284575981787137	300	0.0243466969647784	12322	2	0	0.9933333333333332	1.0
TOBG_MED-630.fna_116165	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9884961305166284	9452	0.9875666074600356	9571	12	0	0.9987304274227676	1.0
TOBG_MED-806.fna_83123	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8620505636715362	12923	0.8611314719797428	15007	120	0	0.990714230441848	1.0
TOBG_MED-806.fna_103340	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9042298076432472	17722	0.8909109189623969	19892	100	0	0.994357296016251	1.0
TOBG_NAT-154.fna_128424	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.0	0	0.0	14389	0	0		
TOBG_NAT-154.fna_20981	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.985283634386516	81547	0.9830387925838416	82954	67	0	0.9991783879235288	1.0
TOBG_MED-630.fna_26228	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9991511756217638	23542	0.999108772227645	23563	27	1	0.9988531135842325	0.999957522725342
TOBG_NAT-154.fna_128979	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.0	0	0.0	13758	0	0		
TOBG_MED-806.fna_84057	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8911090542821365	16367	0.8893658642612617	18403	157	0	0.990407527341602	1.0
TOBG_MED-1001.fna_16785	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9110648076024302	46785	0.9045124120330988	51724	94	0	0.997990809019985	1.0
TOBG_NAT-154.fna_MHASMcontig_1190548	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.6856547928906076	9220	0.6292226847744489	14653	11	0	0.9988069414316704	1.0
TOBG_MED-828.fna_113057	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.912384327623548	9268	0.908449323662027	10202	81	0	0.9912602503236944	1.0
TOBG_MED-806.fna_MHASMcontig_566406	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9876062963633074	10917	0.9874276410998551	11056	2	0	0.9998167994870386	1.0
TOBG_NAT-118.fna_153721	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.776391889066964	33426	0.7714107682721377	43331	25	0	0.999252079219769	1.0
TOBG_MED-806.fna_84338	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9106281156530408	22834	0.9093226076221576	25111	139	0	0.993912586493825	1.0
TOBG_MED-731.fna_88098	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9441661675831654	69366	0.9403009353395688	73770	83	0	0.9988034483752848	1.0
TOBG_MED-806.fna_84480	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8165823776622266	22928	0.8162916547992025	28088	110	0	0.9952023726448012	1.0
TOBG_MED-630.fna_27484	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9977357676825762	27761	0.991428877540088	28001	56	0	0.9979827816000864	1.0
TOBG_NAT-154.fna_130201	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9535353535353536	7552	0.8776292852992447	8605	19	0	0.9974841101694916	1.0
TOBG_MED-828.fna_47135	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9817076480486348	36172	0.9793155728828244	36936	148	0	0.9959084374654428	1.0
TOBG_NAT-118.fna_144329	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7961176346133503	75257	0.796067106710671	94536	58	0	0.9992293075727174	1.0
TOBG_MED-806.fna_79628	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7781776541796173	19028	0.7664853977844914	24825	180	0	0.990540256464158	1.0
TOBG_MED-746.fna_94688	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9869211014167388	58028	0.9797558545933442	59227	31	0	0.9994657751430344	1.0
TOBG_MED-806.fna_80671	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8123870076580877	39993	0.8046071823760185	49705	530	0	0.9867476808441478	1.0
TOBG_NAT-154.fna_127066	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9631694915254236	56827	0.9607756944561856	59147	50	0	0.9991201365548068	1.0
TOBG_MED-806.fna_86246	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.6470844422937334	13372	0.6461464121768543	20695	77	0	0.9942416990726892	1.0
TOBG_MED-630.fna_473	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9967450355938554	42565	0.9965116823523904	42714	68	0	0.998402443321978	1.0
TOBG_MED-828.fna_53501	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8267287584570776	9409	0.8159035726673604	11532	34	0	0.996386438516314	1.0
TOBG_NAT-118.fna_155095	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.0	0	0.0	9859	0	0		
TOBG_MED-806.fna_MHASMcontig_924987	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7718345173422482	11082	0.7701181375955525	14390	104	0	0.9906154123804368	1.0
TOBG_MED-806.fna_40739	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.2993376981217928	23683	0.2727105235885448	86843	32	0	0.998648819828569	1.0
TOBG_MED-806.fna_80358	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.6716369976142411	14639	0.6649859180521487	22014	140	0	0.9904365052257668	1.0
TOBG_MED-746.fna_107043	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8708567288534685	19232	0.789393752821902	24363	14	0	0.9992720465890182	1.0
TOBG_NAT-154.fna_125898	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.0	0	0.0	26317	0	0		
TOBG_NAT-154.fna_130910	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.965718933994422	24931	0.9601401833166447	25966	49	0	0.9980345754281816	1.0
TOBG_MED-806.fna_94475	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9185600024283264	60523	0.902520131225768	67060	586	0	0.9903177304495812	1.0
TOBG_MED-746.fna_95643	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8707674619143432	15147	0.8664836107774154	17481	4	0	0.9997359213045488	1.0
TOBG_MED-828.fna_107901	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.979545045855062	21789	0.9775235531628532	22290	24	0	0.9988985267795676	1.0
TOBG_MED-746.fna_83125	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9550657058075456	29289	0.9439538481371664	31028	11	0	0.9996244323807572	1.0
TOBG_NAT-154.fna_147731	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.345578812473302	809	0.0556013745704467	14550	3	0	0.9962917181705808	1.0
TOBG_MED-828.fna_107012	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.93020768646933	26963	0.9253869650272848	29137	99	0	0.9963283017468384	1.0
TOBG_MED-828.fna_36321	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9117247984675552	11423	0.905868358445678	12610	40	0	0.9964982929177976	1.0
TOBG_MED-1001.fna_151416	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9451660988074956	8877	0.9415570640644888	9428	55	0	0.9938042131350682	1.0
TOBG_MED-806.fna_147132	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8735434809272661	7122	0.8727941176470588	8160	46	0	0.9935411401291772	1.0
TOBG_MED-1001.fna_MHASMcontig_1034986	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8039275384381185	10562	0.7905688622754491	13360	2	0	0.999810641923878	1.0
TOBG_MED-828.fna_49053	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.6137907463579271	14367	0.612143161482744	23470	67	0	0.9953365351151946	1.0
TOBG_MED-1001.fna_55387	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7497827289247057	9490	0.745014915999372	12738	5	0	0.999473129610116	1.0
TOBG_MED-828.fna_51279	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8258451957295374	11139	0.797979797979798	13959	49	0	0.9956010413861208	1.0
TOBG_MED-828.fna_42955	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9750505261690712	13991	0.974100118359674	14363	47	0	0.9966406975913088	1.0
TOBG_MED-630.fna_10692	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9926452152110322	11877	0.9824633964761352	12089	10	0	0.9991580365412142	1.0
TOBG_MED-746.fna_85128	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.6368939117754283	22711	0.5350563068369222	42446	24	0	0.9989432433622474	1.0
TOBG_MED-746.fna_84621	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9713804713804712	23080	0.9423869993058674	24491	7	0	0.9996967071057192	1.0
TOBG_MED-828.fna_108990	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8651515151515151	9136	0.8631897203325775	10584	68	0	0.992556917688266	1.0
TOBG_MED-806.fna_81433	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.6647104851330203	11893	0.660905807168658	17995	117	0	0.9901622803329688	1.0
TOBG_MED-828.fna_109967	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.887527123683999	22087	0.8850022037905197	24957	104	0	0.9952913478516776	1.0
TOBG_NAT-118.fna_145652	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8248147534386023	34841	0.7742788568380817	44998	32	0	0.9990815418615998	1.0
TOBG_MED-713.fna_MHASMcontig_611849	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9486791414419372	6895	0.9188432835820896	7504	0	0	1.0	1.0
TOBG_NAT-118.fna_153831	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.0	0	0.0	8574	0	0		
TOBG_MED-630.fna_27277	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9941176470588236	9464	0.989440669106116	9565	1	0	0.999894336432798	1.0
TOBG_NAT-118.fna_144407	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7688110381260209	22121	0.7616899662557675	29042	29	0	0.998689028524931	1.0
TOBG_MED-828.fna_118797	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.951204531495257	13938	0.947454285908504	14711	49	0	0.9964844310518008	1.0
TOBG_MED-746.fna_84072	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9905003702528298	46816	0.9904584593902724	47267	9	0	0.9998077580314424	1.0
TOBG_MED-1001.fna_58466	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9084683176075312	84632	0.9064056291568046	93371	161	0	0.9980976462803668	1.0
TOBG_MED-731.fna_93846	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8754655648114933	197681	0.8731415800213779	226402	164	0	0.9991703805626236	1.0
TOBG_NAT-154.fna_126006	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9744848834970152	10121	0.9741097208854668	10390	12	0	0.9988143464084576	1.0
TOBG_NAT-154.fna_129888	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9392567595374296	22823	0.9290860981070628	24565	11	0	0.9995180300573984	1.0
TOBG_MED-1001.fna_69095	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9163922320020758	45914	0.9156794703043356	50142	45	0	0.9990199067822452	1.0
TOBG_NAT-154.fna_125703	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.939424730342348	12019	0.9141314268329784	13148	17	0	0.9985855728429984	1.0
TOBG_MED-828.fna_112185	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9896259038038352	47220	0.9895429493493156	47719	140	0	0.9970351545955104	1.0
TOBG_NAT-118.fna_158427	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7468434610024914	17686	0.7459614492386857	23709	2	0	0.999886916204908	1.0
TOBG_MED-806.fna_MHASMcontig_931206	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7096734743793567	5803	0.6464297649548847	8977	20	0	0.996553506806824	1.0
TOBG_MED-828.fna_110767	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9685568686978206	26799	0.9663565556036348	27732	103	0	0.9961565730064554	1.0
TOBG_MED-828.fna_108352	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9171813378971648	24652	0.9099365126236528	27092	109	0	0.9955784520525718	1.0
TOBG_MED-746.fna_97983	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9726405090137856	9172	0.962333438254118	9531	26	0	0.9971652856519844	1.0
TOBG_MED-1001.fna_46600	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9345600779917134	7669	0.9326279946491548	8223	27	0	0.9964793323771026	1.0
TOBG_MED-630.fna_11255	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9722287875206806	8227	0.9669722614010344	8508	14	0	0.998298286131032	1.0
TOBG_NAT-154.fna_592	ERR599092.OGdb2.sorted.bam	ERR599140.OGdb2.sorted.bam	0.0	0	0.0	23345	0	0		
TOBG_MED-746.fna_106685	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8909860443834363	7789	0.8745789355490681	8906	26	0	0.996661959173193	1.0
TOBG_NAT-154.fna_29375	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.905819774718398	8685	0.8853211009174312	9810	44	0	0.9949337938975245	1.0
TOBG_MED-1001.fna_65492	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9657971504671712	45688	0.9625416087304596	47466	37	0	0.9991901593416216	1.0
TOBG_NAT-118.fna_MHASMcontig_1619210	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8162162162162162	22650	0.8141332087272204	27821	8	0	0.9996467991169978	1.0
TOBG_NAT-118.fna_154082	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7992461197339246	72092	0.7901532256296718	91238	71	0	0.9990151473117684	1.0
TOBG_MED-746.fna_84937	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9579411764705882	29313	0.9554432855280311	30680	7	0	0.9997611981032306	1.0
TOBG_MED-806.fna_147888	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.6666184218143925	23029	0.6163749263958033	37362	263	0	0.9885796170046464	1.0
TOBG_MED-806.fna_98382	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8178163577501868	45976	0.8040151793365161	57183	421	0	0.990843048547068	1.0
TOBG_MED-1001.fna_37063	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.4702608695652174	10816	0.4639471539484407	23313	44	0	0.995931952662722	1.0
TOBG_MED-828.fna_109926	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9595902904447874	13678	0.9571728481455564	14290	80	0	0.9941511916946922	1.0
TOBG_MED-806.fna_55795	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8641905430340627	76340	0.8552830590317846	89257	754	0	0.990123133350799	1.0
TOBG_NAT-118.fna_MHASMcontig_1636793	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7405034555818998	14679	0.7380461561667253	19889	18	0	0.9987737584304108	1.0
TOBG_MED-828.fna_114544	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9706101884679976	10403	0.9589786135693216	10848	24	0	0.9976929731808132	1.0
TOBG_NAT-154.fna_127190	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7794040545263894	17839	0.7635904460234569	23362	27	0	0.9984864622456416	1.0
TOBG_MED-630.fna_6813	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.996806419914838	12173	0.9956649762800588	12226	9	0	0.9992606588351268	1.0
TOBG_MED-828.fna_111271	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8048302872062664	11097	0.7822501057380516	14186	70	0	0.9936919888258088	1.0
TOBG_MED-828.fna_112718	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8438323353293413	10569	0.8396091515729266	12588	40	0	0.9962153467688524	1.0
TOBG_MED-630.fna_32184	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.99760112498966	24120	0.9941062523183448	24263	66	0	0.9972636815920398	1.0
TOBG_MED-731.fna_114327	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9372339728897912	28625	0.9354575163398692	30600	38	0	0.9986724890829696	1.0
TOBG_MED-806.fna_86897	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7294157510044048	15069	0.687673983480126	21913	115	0	0.992368438516159	1.0
TOBG_NAT-154.fna_127858	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9545927119613246	36727	0.893883710175968	41087	49	0	0.998665831676968	1.0
TOBG_NAT-154.fna_128804	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.979151885608252	17941	0.9741014225214464	18418	48	0	0.997324563848169	1.0
TOBG_NAT-154.fna_129399	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9324444940310164	16715	0.9063550591042188	18442	22	0	0.9986838169309004	1.0
TOBG_MED-1001.fna_MHASMcontig_1054436	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.6871680110171159	27943	0.6768481736265866	41284	18	0	0.999355831514154	1.0
TOBG_MED-828.fna_93957	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7249100823761457	18744	0.7222564734895192	25952	108	0	0.9942381562099872	1.0
TOBG_MED-828.fna_108649	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9783801824519766	26383	0.9773653404460252	26994	98	0	0.9962854868665428	1.0
TOBG_MED-806.fna_146066	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9571062390924956	35099	0.9547370998014308	36763	284	0	0.9919086013846548	1.0
TOBG_MED-630.fna_29484	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9852388797364086	14951	0.9831009994739612	15208	16	0	0.9989298374690656	1.0
TOBG_MED-630.fna_24983	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9923770215633424	23563	0.9856109089388044	23907	21	0	0.999108772227645	1.0
TOBG_MED-746.fna_85503	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.8525185663545366	21122	0.8288012556405728	25485	7	0	0.999668591989395	1.0
TOBG_MED-806.fna_103412	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.5314242445102223	7720	0.526495260178681	14663	21	0	0.997279792746114	1.0
TOBG_MED-828.fna_41854	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9727758700038942	27478	0.9714346319734144	28286	129	0	0.9953053351772329	1.0
TOBG_NAT-118.fna_154873	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.7322548826198462	37118	0.7313747512364288	50751	40	0	0.9989223557303734	1.0
TOBG_MED-630.fna_10312	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9958864455842772	19610	0.991054732905443	19787	32	0	0.998368179500255	1.0
TOBG_MED-713.fna_46436	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9969887474245868	245336	0.995346535055156	246483	20	0	0.9999184791469656	1.0
TOBG_MED-630.fna_3137	ERR599073.OGdb2.sorted.bam	ERR599092.OGdb2.sorted.bam	0.9590158979628846	15865	0.9437834622248662	16810	11	0	0.9993066498581784	1.0
