genome,completeness,contamination,length,N50
TOBG_MED-601.fna,97.58,6.47,7173301,86002
TOBG_SAT-114.fna,89.77,3.47,4070297,279795
TOBG_ARS-1182.fna,53.58,0.93,575191,38191
TOBG_NP-102.fna,66.38,1.72,1674359,27597
TOBG_NP-103.fna,89.78,1.08,3506299,27074
TOBG_SP-249.fna,86.81,2.93,1379901,94329
TOBG_SP-331.fna,86.25,2.88,1345329,818563
TOBG_IN-1077.fna,77.35,2.14,1935680,31455
TOBG_CPC-71.fna,98.51,1.55,6275017,171433
TOBG_CPC-79.fna,96.63,4.96,4078500,169782
TOBG_CPC-96.fna,89.77,2.74,3080694,56437
TOBG_NAT-257.fna,60.1,4.44,4491607,17751
TOBG_MED-763.fna,97.79,7.84,2111841,98891
TOBG_MED-762.fna,82.72,4.41,1880399,53455
TOBG_MED-761.fna,50.87,0.0,1038385,14858
TOBG_MED-767.fna,73.05,1.16,1694930,45875
TOBG_MED-765.fna,95.73,0.46,1989739,168110
TOBG_MED-619.fna,82.12,1.0,1616686,96672
TOBG_MED-614.fna,81.37,4.99,1903688,36787
TOBG_NP-1324.fna,67.0,0.5,1840587,22289
TOBG_RS-456.fna,94.39,6.57,4172585,28231
TOBG_MED-1122.fna,88.3,8.16,3636569,78900
TOBG_ARS-1040.fna,56.96,2.34,926074,13101
TOBG_NP-42.fna,86.48,4.9,3854487,20961
TOBG_SP-347.fna,73.58,0.03,2399738,300359
TOBG_SP-341.fna,78.38,1.08,1899875,48880
TOBG_MED-972.fna,83.52,8.24,1747143,34221
TOBG_SP-298.fna,55.17,0.0,1147145,25144
TOBG_SAT-1584.fna,62.15,3.25,883771,24663
TOBG_SAT-1568.fna,71.93,3.41,1664958,26503
TOBG_SAT-1560.fna,60.37,2.39,899377,18973
TOBG_NP-1159.fna,52.67,1.6,753420,13128
TOBG_NAT-244.fna,55.49,3.45,1520349,25016
TOBG_MED-750.fna,53.47,1.98,607152,15514
TOBG_MED-751.fna,54.65,0.57,824573,47261
TOBG_MED-598.fna,97.8,1.1,1438732,58742
TOBG_MED-594.fna,96.58,7.26,2500777,126539
TOBG_MED-596.fna,96.59,5.38,1820433,88906
TOBG_MED-597.fna,80.95,1.35,3119853,19095
TOBG_MED-590.fna,91.89,4.05,2560327,19548
TOBG_MED-591.fna,80.59,1.35,1543911,102911
TOBG_MED-593.fna,95.21,8.0,1567035,52858
TOBG_NP-1080.fna,50.9,0.0,1116869,17605
TOBG_MED-629.fna,79.03,1.5,3666716,20220
TOBG_MED-622.fna,96.51,6.0,2609325,48116
TOBG_MED-623.fna,100.0,9.68,2493169,52023
TOBG_MED-627.fna,64.01,1.97,2192286,15118
TOBG_RS-421.fna,89.56,2.2,2154467,33934
TOBG_RS-449.fna,51.49,3.96,1919020,29114
TOBG_SP-355.fna,55.17,1.72,818416,41924
TOBG_SP-356.fna,51.88,1.72,6249476,57197
TOBG_SP-191.fna,82.21,3.45,2238706,81164
TOBG_RS-444.fna,51.92,2.69,3245549,7921
TOBG_RS-445.fna,60.16,3.42,3380952,12905
TOBG_SP-4170.fna,50.78,1.72,1353238,52100
TOBG_SP-348.fna,76.07,1.28,2222761,558416
TOBG_MED-749.fna,51.26,1.91,916890,22015
TOBG_MED-748.fna,93.3,4.33,2062232,51216
TOBG_MED-741.fna,97.3,8.11,2312040,64580
TOBG_MED-744.fna,98.28,8.46,2374511,101234
TOBG_MED-747.fna,91.26,0.55,1627873,222763
TOBG_CPC-299.fna,60.13,2.44,2348545,17243
TOBG_CPC-296.fna,79.78,3.93,634247,19612
TOBG_NAT-5.fna,97.72,5.4,3199630,99414
TOBG_MED-637.fna,91.14,3.51,2045228,74404
TOBG_MED-632.fna,87.65,3.05,2948245,29685
TOBG_SP-31.fna,90.14,2.15,3173152,43838
TOBG_SAT-195.fna,88.39,1.79,3385183,96936
TOBG_SAT-192.fna,61.03,0.0,1180519,25921
TOBG_SAT-193.fna,83.52,0.0,1338141,75097
TOBG_SAT-191.fna,61.06,1.98,865609,56190
TOBG_RS-475.fna,51.98,2.76,2436900,13383
TOBG_SAT-171.fna,67.82,0.99,1018053,97094
TOBG_NP-67.fna,64.25,0.0,834468,151860
TOBG_SAT-2814.fna,51.72,0.0,990030,28259
TOBG_SP-162.fna,99.46,0.0,3357578,215500
TOBG_SP-3114.fna,55.17,3.45,1037197,23282
TOBG_RS-652.fna,84.82,5.17,2169185,82887
TOBG_IN-1207.fna,60.54,0.96,1977845,13155
TOBG_ARS-53.fna,68.65,0.86,1674305,11253
TOBG_MED-826.fna,62.25,3.32,1540108,14843
TOBG_MED-820.fna,90.14,7.93,2062951,159512
TOBG_EAC-80.fna,50.44,1.1,894459,12473
TOBG_EAC-83.fna,75.82,0.2,1191907,40778
TOBG_MED-643.fna,99.93,9.77,3851942,48078
TOBG_MED-645.fna,96.7,0.0,1455472,45828
TOBG_SAT-65.fna,75.95,1.08,1708736,26396
TOBG_MED-729.fna,80.3,3.28,1538660,34899
TOBG_NAT-176.fna,91.76,0.0,4034638,190701
TOBG_NAT-109.fna,85.36,2.9,2285316,25595
TOBG_EAC-111.fna,52.51,0.85,1571829,13956
TOBG_EAC-119.fna,51.2,0.61,749273,15850
TOBG_MED-1270.fna,73.5,0.0,1367123,139735
TOBG_NAT-34.fna,70.18,0.83,1470938,43029
TOBG_NAT-32.fna,96.62,8.11,4783185,81317
TOBG_RS-535.fna,83.33,0.99,1314129,140478
TOBG_SAT-167.fna,62.07,1.72,1108752,21827
TOBG_SAT-163.fna,50.86,0.0,1738276,33739
TOBG_NP-71.fna,52.14,0.85,1647811,15329
TOBG_SP-3106.fna,70.69,3.45,1984568,33999
TOBG_SP-3101.fna,51.72,3.45,1669687,31215
TOBG_SP-2987.fna,58.25,2.91,798812,26084
TOBG_RS-468.fna,54.3,3.4,1815359,16891
TOBG_RS-469.fna,69.27,2.04,1799083,14438
TOBG_SP-2981.fna,50.17,3.47,1921987,22696
TOBG_RS-464.fna,94.39,5.13,3038814,89029
TOBG_SP-4372.fna,55.17,3.45,1903018,141492
TOBG_SP-2968.fna,63.1,2.38,2460758,34158
TOBG_SAT-184.fna,74.14,1.31,1457291,354282
TOBG_MED-837.fna,78.09,3.85,1827968,32288
TOBG_MED-831.fna,79.48,4.35,1822500,24701
TOBG_MED-651.fna,91.83,2.69,1682645,45058
TOBG_MED-655.fna,88.86,2.72,3265334,41024
TOBG_MED-654.fna,96.69,3.86,1936805,42463
TOBG_MED-659.fna,95.62,2.15,4226476,45418
TOBG_MED-658.fna,60.04,0.95,1381281,14515
TOBG_SP-14.fna,72.35,0.0,5012488,36833
TOBG_SP-15.fna,78.38,0.84,2620558,41801
TOBG_SP-10.fna,92.27,0.0,5902655,115022
TOBG_SP-12.fna,93.75,4.59,6175406,81258
TOBG_NAT-115.fna,56.74,0.86,1215297,32479
TOBG_NAT-112.fna,53.92,0.1,1518647,14618
TOBG_MED-1269.fna,90.6,4.7,1932114,145839
TOBG_NP-973.fna,90.56,7.75,3016006,56047
TOBG_SP-149.fna,98.02,0.17,3589936,176261
TOBG_MED-1076.fna,84.27,1.64,1524237,119010
TOBG_RS-416.fna,91.66,4.84,1914839,80638
TOBG_RS-419.fna,76.01,0.0,1520059,22563
TOBG_NAT-27.fna,64.1,1.8,791399,26773
TOBG_SAT-1415.fna,80.79,7.72,2548298,30821
TOBG_MED-932.fna,51.24,3.46,1110695,26319
TOBG_MED-939.fna,53.44,4.42,849796,25912
TOBG_MED-791.fna,68.55,3.76,1572672,32458
TOBG_SAT-59.fna,83.45,0.38,2811814,45639
TOBG_MED-666.fna,90.57,2.69,1633593,43039
TOBG_NAT-129.fna,90.58,2.48,3876462,66850
TOBG_EAC-625.fna,88.08,7.75,2648575,28786
TOBG_NP-983.fna,69.84,4.42,1759988,15580
TOBG_EAC-622.fna,53.51,2.44,1052377,16129
TOBG_EAC-628.fna,50.49,4.94,1350715,15152
TOBG_EAC-1775.fna,57.93,3.24,1091316,18079
TOBG_NAT-58.fna,54.84,1.76,639657,18504
TOBG_EAC-1795.fna,55.85,0.0,1744912,10962
TOBG_SP-3018.fna,77.5,3.61,3629169,37241
TOBG_MED-811.fna,60.55,3.68,1397669,39671
TOBG_MED-813.fna,90.1,6.93,1445825,161237
TOBG_SP-104.fna,98.14,3.23,3870793,139984
TOBG_SP-4095.fna,56.59,0.0,683425,23692
TOBG_MED-679.fna,53.84,0.86,1526166,18403
TOBG_MED-671.fna,93.11,0.98,3309648,48392
TOBG_MED-673.fna,96.7,3.3,2353118,65078
TOBG_MED-677.fna,87.37,2.47,1857346,18901
TOBG_MED-676.fna,100.0,5.71,2009952,64778
TOBG_SAT-208.fna,62.71,0.0,1059703,120951
TOBG_SP-76.fna,96.07,0.57,2996524,129981
TOBG_MED-789.fna,51.65,3.3,1521140,128732
TOBG_EAC-2038.fna,69.28,4.43,1780052,35502
TOBG_MED-783.fna,76.61,1.16,1730807,357326
TOBG_CPC-324.fna,90.44,10.0,4249882,64401
TOBG_NAT-139.fna,83.2,0.8,1426581,66796
TOBG_NAT-136.fna,85.04,1.25,1451470,24574
TOBG_SP-357.fna,66.12,1.22,855812,131654
TOBG_ARS-1021.fna,69.63,3.74,961052,60831
TOBG_NP-25.fna,94.33,1.26,2529929,248498
TOBG_SP-128.fna,97.73,0.0,3158757,816302
TOBG_SP-121.fna,95.45,5.68,4536377,260769
TOBG_RS-430.fna,64.84,3.26,1686706,92253
TOBG_RS-436.fna,64.27,3.32,1000379,26217
TOBG_NAT-46.fna,92.66,2.75,3044101,35855
TOBG_NAT-47.fna,57.05,0.0,2170003,16378
TOBG_NAT-42.fna,55.34,1.94,613471,13315
TOBG_RS-346.fna,76.91,0.0,1252944,21738
TOBG_SP-235.fna,51.35,0.0,1864573,21652
TOBG_ARS-18.fna,83.13,4.89,3711261,25817
TOBG_MED-868.fna,57.51,3.58,913197,15484
TOBG_MED-861.fna,75.78,2.03,2696486,17399
TOBG_MED-862.fna,72.89,2.69,1259877,18927
TOBG_MED-863.fna,52.49,2.56,1344670,19085
TOBG_MED-865.fna,56.64,4.78,1416409,29302
TOBG_SAT-1611.fna,79.9,3.65,2084816,38780
TOBG_SAT-1614.fna,91.03,8.97,2514011,139511
TOBG_EAC-42.fna,88.58,3.3,3827229,33110
TOBG_MED-684.fna,51.69,1.83,670350,12256
TOBG_SP-63.fna,100.0,4.08,3474921,429300
TOBG_EAC-2025.fna,64.08,3.88,600728,22628
TOBG_SAT-72.fna,52.91,1.94,1628456,16850
TOBG_MED-1233.fna,80.11,9.09,1883303,70484
TOBG_SP-130.fna,59.15,1.01,1539754,25960
TOBG_EAC-707.fna,86.53,9.14,2734821,35706
TOBG_EAC-703.fna,56.94,4.43,1089115,21227
TOBG_MED-1047.fna,74.93,2.93,1754951,30075
TOBG_EAC-708.fna,70.82,3.42,1764812,37515
TOBG_NAT-77.fna,60.83,0.85,831675,38392
TOBG_RS-358.fna,64.17,0.0,1315409,12174
TOBG_RS-359.fna,72.0,0.81,2132774,10108
TOBG_RS-357.fna,89.94,3.85,2646665,93601
TOBG_RS-353.fna,61.14,0.57,1006839,8701
TOBG_SP-220.fna,56.62,1.47,708703,21415
TOBG_NAT-98.fna,63.64,0.0,910248,35652
TOBG_NAT-97.fna,51.42,1.28,572579,22546
TOBG_NAT-96.fna,80.93,4.0,1781012,30401
TOBG_NAT-95.fna,52.42,0.43,757155,15919
TOBG_ARS-28.fna,81.25,1.2,4406224,22168
TOBG_EAC-78.fna,83.15,4.9,2133106,28212
TOBG_MED-696.fna,74.63,1.35,1509949,31205
TOBG_MED-695.fna,90.12,0.6,2846697,26509
TOBG_MED-693.fna,60.28,0.27,1090404,14049
TOBG_MED-691.fna,55.17,0.0,2174873,17530
TOBG_SP-150.fna,86.49,1.08,2027259,35349
TOBG_EAC-2011.fna,77.34,2.97,1305449,19703
TOBG_NAT-153.fna,62.08,1.08,1521640,23305
TOBG_MED-1229.fna,52.26,1.06,1138026,52508
TOBG_MED-1223.fna,71.73,0.8,1464292,20992
TOBG_NP-933.fna,51.94,3.88,665689,11658
TOBG_RS-362.fna,55.63,0.19,1687466,48724
TOBG_RS-365.fna,75.27,0.0,1600229,13780
TOBG_SAT-1290.fna,50.86,4.7,1321196,26586
TOBG_SP-217.fna,53.59,0.0,1690904,25981
TOBG_NAT-85.fna,83.43,3.99,3683509,25720
TOBG_SAT-2654.fna,54.37,0.27,1144036,22079
TOBG_ARS-32.fna,59.4,0.0,2062760,12694
TOBG_ARS-39.fna,54.56,0.0,956697,15791
TOBG_MED-844.fna,59.94,2.78,1320517,26740
TOBG_MED-845.fna,65.78,4.17,1049628,14656
TOBG_MED-842.fna,52.32,4.4,1192680,81586
TOBG_SP-119.fna,96.67,4.46,4498809,96876
TOBG_SP-46.fna,54.8,0.0,1303355,29217
TOBG_SP-44.fna,57.3,1.69,2615257,308602
TOBG_SP-40.fna,69.28,0.0,1819413,33088
TOBG_EAC-62.fna,99.14,0.0,3895818,618089
TOBG_MED-738.fna,76.53,0.84,1807295,43008
TOBG_MED-734.fna,98.74,4.86,2592778,58338
TOBG_MED-735.fna,97.79,8.82,2242875,124646
TOBG_MED-736.fna,92.27,4.18,2247865,85799
TOBG_MED-737.fna,68.93,0.0,1257110,44468
TOBG_MED-731.fna,86.97,1.12,1095174,152839
TOBG_SAT-214.fna,74.73,1.1,1119838,24054
TOBG_EAC-669.fna,61.87,3.32,1855757,26244
TOBG_SAT-101.fna,98.78,1.33,4047777,157843
TOBG_NAT-184.fna,58.1,1.1,838816,16602
TOBG_SP-113.fna,97.51,3.53,6843540,118601
TOBG_RS-376.fna,95.95,4.86,5828739,39362
TOBG_RS-377.fna,69.59,0.0,1365363,19602
TOBG_MED-1155.fna,84.7,7.4,1910504,37489
TOBG_SP-3053.fna,65.17,2.03,1438138,31912
TOBG_SP-3055.fna,89.48,7.86,1702214,52580
TOBG_MED-854.fna,67.75,2.16,1987209,72450
TOBG_MED-857.fna,72.48,2.67,1606096,24713
TOBG_MED-856.fna,75.97,2.03,1796199,42261
TOBG_RS-399.fna,53.06,0.0,3724495,76687
TOBG_RS-393.fna,68.4,0.61,2400122,13460
TOBG_SP-3980.fna,57.93,3.45,977106,40591
TOBG_NAT-214.fna,66.09,2.56,1988522,31591
TOBG_NAT-213.fna,53.4,3.88,721880,17559
TOBG_SP-97.fna,98.81,8.99,7154299,602336
TOBG_NAT-177.fna,62.65,0.85,899840,211849
TOBG_MED-726.fna,58.97,1.3,952395,30975
TOBG_MED-720.fna,53.69,0.57,693101,81809
TOBG_NAT-191.fna,59.48,0.0,1488678,76121
TOBG_NP-131.fna,51.4,0.0,951178,82910
TOBG_MED-1017.fna,84.35,6.15,1110878,18529
TOBG_SAT-2701.fna,53.45,0.0,1467638,20301
TOBG_SP-278.fna,59.4,1.19,3256745,39914
TOBG_SP-271.fna,61.73,0.0,1542563,32141
TOBG_SP-270.fna,62.07,0.0,1566047,45186
TOBG_RS-723.fna,64.14,4.01,2195884,104242
TOBG_MED-588.fna,94.97,3.01,4336285,43016
TOBG_SP-308.fna,53.68,0.0,1049001,35715
TOBG_SAT-1508.fna,76.53,4.8,2044475,50149
TOBG_MED-582.fna,87.8,3.62,1971941,30442
TOBG_SAT-1476.fna,55.9,3.95,1283524,23637
TOBG_EAC-99.fna,81.47,4.2,1028458,59746
TOBG_MED-882.fna,71.29,2.97,1060569,47807
TOBG_SAT-14.fna,76.4,1.18,3358676,26029
TOBG_NAT-208.fna,54.88,2.17,854587,22798
TOBG_NAT-206.fna,82.18,7.66,2234547,21176
TOBG_NAT-201.fna,80.64,6.46,2847930,206028
TOBG_SP-84.fna,84.07,1.69,3349955,37164
TOBG_MED-718.fna,75.62,0.38,1023051,58884
TOBG_MED-712.fna,80.16,2.2,1570915,80888
TOBG_MED-713.fna,84.55,1.48,1041846,246483
TOBG_MED-710.fna,59.74,0.0,1044328,22370
TOBG_SAT-159.fna,85.47,2.21,2010063,51976
TOBG_NP-1374.fna,68.03,0.0,1303630,33956
TOBG_ARS-1304.fna,56.47,4.49,849313,22304
TOBG_NAT-168.fna,79.13,0.97,981568,25131
TOBG_MED-733.fna,95.6,3.85,2274919,58949
TOBG_NP-127.fna,97.68,2.25,3428059,50712
TOBG_CPC-99.fna,52.49,0.0,1048877,10817
TOBG_CPC-98.fna,94.5,0.33,3481067,59970
TOBG_CPC-97.fna,93.28,4.84,1654937,87014
TOBG_CPC-95.fna,99.63,6.69,4033935,171514
TOBG_CPC-94.fna,52.41,1.88,1689296,16907
TOBG_CPC-93.fna,60.43,1.96,937359,14964
TOBG_CPC-92.fna,54.17,1.45,766725,22100
TOBG_CPC-91.fna,51.57,1.28,780284,21152
TOBG_CPC-90.fna,68.38,0.43,902505,39248
TOBG_CPC-9.fna,95.83,1.7,5071512,43655
TOBG_CPC-89.fna,53.24,0.0,876065,13228
TOBG_CPC-88.fna,64.51,0.0,6426131,12391
TOBG_CPC-86.fna,98.86,9.3,2903787,139376
TOBG_CPC-85.fna,88.98,1.7,3593470,48589
TOBG_CPC-84.fna,72.11,0.0,1854438,25354
TOBG_CPC-83.fna,56.99,1.14,2877350,18560
TOBG_CPC-80.fna,91.46,4.18,2153521,28129
TOBG_CPC-8.fna,99.25,0.14,4656670,97038
TOBG_CPC-78.fna,65.83,0.0,2282370,11382
TOBG_CPC-77.fna,55.21,1.9,2978314,10551
TOBG_CPC-76.fna,54.79,0.05,3551490,10988
TOBG_CPC-75.fna,76.67,1.65,2236758,58222
TOBG_CPC-74.fna,72.3,1.17,1880323,27440
TOBG_CPC-73.fna,84.2,0.0,2059111,33453
TOBG_CPC-72.fna,97.01,2.67,3724617,99165
TOBG_CPC-70.fna,99.24,0.19,3401895,303219
TOBG_CPC-7.fna,97.95,1.95,3563707,45353
TOBG_CPC-69.fna,99.08,1.03,4462782,83599
TOBG_CPC-68.fna,68.62,0.0,2800426,53548
TOBG_CPC-67.fna,92.84,0.46,3073893,23617
TOBG_CPC-66.fna,58.56,0.34,1157820,12116
TOBG_CPC-65.fna,62.73,0.61,1467706,11086
TOBG_CPC-64.fna,91.95,0.55,3164348,27520
TOBG_CPC-63.fna,56.9,0.0,1721715,10960
TOBG_CPC-62.fna,79.78,0.81,3794800,14733
TOBG_CPC-61.fna,80.16,2.33,3163279,41917
TOBG_CPC-60.fna,69.55,0.81,1172561,13109
TOBG_CPC-6.fna,93.67,2.38,4062975,32683
TOBG_CPC-59.fna,85.16,3.17,2233492,19160
TOBG_CPC-58.fna,85.66,2.8,2908243,39972
TOBG_CPC-57.fna,50.89,0.0,1478289,10694
TOBG_CPC-56.fna,63.34,0.44,1353638,20197
TOBG_CPC-55.fna,67.47,1.72,1708504,10447
TOBG_CPC-54.fna,77.72,1.75,2564067,16141
TOBG_CPC-53.fna,85.74,0.84,3638156,26734
TOBG_CPC-52.fna,91.09,3.17,3486621,16923
TOBG_CPC-51.fna,97.85,3.23,5396125,137317
TOBG_CPC-50.fna,80.73,4.08,3119870,18249
TOBG_CPC-5.fna,100.0,2.25,3343779,173894
TOBG_CPC-49.fna,97.56,7.83,3385270,105807
TOBG_CPC-48.fna,96.98,7.89,4321600,33401
TOBG_CPC-47.fna,76.62,1.69,2113371,16027
TOBG_CPC-46.fna,89.12,3.27,2968318,16653
TOBG_CPC-45.fna,96.38,2.6,3599540,36027
TOBG_CPC-44.fna,50.67,0.0,932512,16432
TOBG_CPC-43.fna,99.0,0.0,4682359,101525
TOBG_CPC-42.fna,96.96,5.29,4517664,105895
TOBG_CPC-40.fna,99.25,2.92,5270755,162717
TOBG_CPC-4.fna,63.32,0.98,2304876,11654
TOBG_CPC-39.fna,76.0,1.81,3018114,12363
TOBG_CPC-38.fna,99.02,8.04,5034057,72199
TOBG_CPC-37.fna,52.59,0.0,992995,31515
TOBG_CPC-36.fna,63.97,0.0,3442673,32548
TOBG_CPC-35.fna,62.67,1.68,1625852,12252
TOBG_CPC-34.fna,82.58,3.09,3128815,71341
TOBG_CPC-33.fna,82.19,1.0,2058035,15338
TOBG_CPC-327.fna,78.0,3.71,3226856,60473
TOBG_CPC-326.fna,63.38,3.2,1722735,15653
TOBG_CPC-325.fna,66.29,3.8,1511483,14201
TOBG_CPC-323.fna,79.89,2.37,1565616,39976
TOBG_CPC-322.fna,74.53,4.55,2727206,17285
TOBG_CPC-320.fna,88.23,5.08,3369777,29950
TOBG_CPC-32.fna,91.27,0.14,3420632,23953
TOBG_CPC-319.fna,80.48,6.0,2399081,23410
TOBG_CPC-317.fna,58.66,2.21,1029645,9337
TOBG_CPC-316.fna,90.26,6.43,3334233,189681
TOBG_CPC-31.fna,90.81,1.11,7060560,20642
TOBG_CPC-41.fna,98.92,1.61,3448277,81412
TOBG_CPC-309.fna,81.05,7.86,2906968,23647
TOBG_CPC-307.fna,51.65,3.09,811749,21336
TOBG_CPC-306.fna,63.86,3.61,677666,23228
TOBG_CPC-305.fna,82.11,5.39,2250599,38343
TOBG_CPC-302.fna,69.35,3.47,3671690,12896
TOBG_CPC-301.fna,61.0,2.3,923233,18087
TOBG_CPC-300.fna,78.86,2.04,2790782,18361
TOBG_CPC-30.fna,80.96,0.0,1934576,32074
TOBG_CPC-3.fna,93.18,2.27,3688905,28072
TOBG_CPC-297.fna,83.31,5.11,2981401,19938
TOBG_CPC-295.fna,62.83,2.1,2324645,27943
TOBG_CPC-294.fna,81.03,6.9,3874193,54344
TOBG_CPC-293.fna,67.78,2.87,2184158,12955
TOBG_CPC-291.fna,62.65,2.49,2468659,23621
TOBG_CPC-290.fna,68.69,4.3,1484895,61081
TOBG_CPC-29.fna,75.6,1.02,1356679,15570
TOBG_CPC-289.fna,90.06,5.95,1073347,61239
TOBG_CPC-288.fna,91.18,9.81,1980058,26465
TOBG_CPC-28.fna,95.97,2.14,4126914,94912
TOBG_CPC-27.fna,87.1,4.32,3496503,40584
TOBG_CPC-26.fna,66.12,1.14,3091915,37239
TOBG_CPC-25.fna,96.22,1.14,3437953,57058
TOBG_CPC-24.fna,79.49,1.12,4047420,16145
TOBG_CPC-23.fna,88.68,1.73,4535755,20512
TOBG_CPC-22.fna,66.2,1.94,1812268,11766
TOBG_CPC-21.fna,100.0,1.0,6500284,141498
TOBG_CPC-20.fna,82.65,4.98,2506802,16189
TOBG_CPC-2.fna,98.7,0.73,4982846,126384
TOBG_CPC-19.fna,99.04,0.61,6558740,110406
TOBG_CPC-18.fna,51.72,0.0,1799906,56250
TOBG_CPC-17.fna,97.44,0.54,4947698,121050
TOBG_CPC-16.fna,71.9,0.0,2679798,21260
TOBG_CPC-15.fna,67.71,0.0,4357658,72686
TOBG_CPC-1469.fna,65.86,1.34,1341638,14558
TOBG_CPC-1462.fna,61.67,2.48,1448994,30757
TOBG_CPC-1447.fna,52.44,0.91,2880477,14307
TOBG_CPC-1446.fna,67.87,0.0,1247832,19943
TOBG_CPC-14.fna,98.9,0.09,2765177,139887
TOBG_CPC-1399.fna,75.91,4.7,1895048,38203
TOBG_CPC-1397.fna,57.4,3.65,1325400,17990
TOBG_CPC-1382.fna,68.1,3.45,1153411,20534
TOBG_CPC-1369.fna,57.1,1.14,1772826,31539
TOBG_CPC-1365.fna,53.76,3.45,868868,8894
TOBG_CPC-1357.fna,51.01,4.21,1280929,12188
TOBG_CPC-1337.fna,58.66,4.84,1272985,40398
TOBG_CPC-1328.fna,51.51,1.91,1212291,11339
TOBG_CPC-1326.fna,77.95,3.71,1661110,12609
TOBG_CPC-13.fna,98.99,1.12,5031000,136522
TOBG_CPC-1232.fna,83.64,6.69,1764055,15642
TOBG_CPC-12.fna,98.44,3.01,4461979,232226
TOBG_CPC-11.fna,94.98,2.42,3618159,47167
TOBG_CPC-100.fna,56.57,1.9,1142703,30743
TOBG_CPC-10.fna,55.14,0.06,1095120,11939
TOBG_CPC-1.fna,86.8,2.75,7287357,51250
TOBG_ARS-99.fna,50.47,0.93,1120075,13915
TOBG_ARS-98.fna,50.17,0.0,2899245,15727
TOBG_ARS-97.fna,50.86,1.72,3461786,14064
TOBG_ARS-96.fna,61.73,0.55,1617461,25928
TOBG_ARS-95.fna,80.22,4.4,1653466,56969
TOBG_CPC-315.fna,51.62,4.14,1925232,9350
TOBG_CPC-314.fna,63.79,3.45,1847304,67426
TOBG_CPC-313.fna,52.54,2.7,1706849,12444
TOBG_CPC-311.fna,64.65,2.99,873883,18161
TOBG_CPC-310.fna,74.77,3.15,2357393,44468
TOBG_ARS-94.fna,50.37,1.68,2109413,47538
TOBG_ARS-93.fna,98.94,1.91,3480919,298914
TOBG_ARS-92.fna,55.76,1.2,938760,19629
TOBG_ARS-91.fna,66.4,1.6,1313583,26937
TOBG_ARS-90.fna,88.17,4.3,3375994,31493
TOBG_ARS-9.fna,63.79,1.72,2755495,30988
TOBG_ARS-89.fna,66.76,1.71,2425505,12374
TOBG_ARS-88.fna,66.06,0.84,1657147,12516
TOBG_ARS-87.fna,53.87,1.43,4054128,20570
TOBG_ARS-86.fna,92.47,0.0,2099918,41932
TOBG_ARS-85.fna,52.02,0.0,820771,12107
TOBG_ARS-84.fna,73.14,0.22,1788577,32241
TOBG_ARS-83.fna,65.52,0.0,2934318,45063
TOBG_ARS-82.fna,66.89,1.14,2016676,18125
TOBG_ARS-81.fna,86.82,4.95,3504672,23120
TOBG_ARS-80.fna,63.33,1.66,1630400,19385
TOBG_ARS-8.fna,62.87,1.0,2019457,10605
TOBG_ARS-79.fna,69.42,0.0,1299551,13623
TOBG_ARS-78.fna,50.13,0.0,1066878,30063
TOBG_ARS-77.fna,70.87,1.31,1396584,15612
TOBG_ARS-76.fna,89.19,1.35,2161033,73288
TOBG_ARS-74.fna,74.3,0.0,1259110,19109
