genome,completeness,contamination,length,N50,centrality
TOBG_MED-632.fna,87.65,3.05,2948245.0,29685.0,0.967892
TOBG_SP-31.fna,90.14,2.15,3173152.0,43838.0,0.999746
TOBG_SAT-195.fna,88.39,1.79,3385183.0,96936.0,0.999377
TOBG_SAT-192.fna,61.03,0.0,,,0.0
TOBG_SAT-193.fna,83.52,0.0,1338141.0,75097.0,0.983352
TOBG_SAT-191.fna,61.06,1.98,,,0.0
TOBG_RS-475.fna,51.98,2.76,,,0.0
TOBG_SAT-171.fna,67.82,0.99,,,0.0
TOBG_NP-67.fna,64.25,0.0,,,0.0
TOBG_SAT-2814.fna,51.72,0.0,,,0.0
TOBG_SP-162.fna,99.46,0.0,3357578.0,215500.0,0.0
TOBG_SP-3114.fna,55.17,3.45,,,0.0
TOBG_RS-652.fna,84.82,5.17,2169185.0,82887.0,0.9722685
TOBG_IN-1207.fna,60.54,0.96,,,0.0
TOBG_ARS-53.fna,68.65,0.86,,,0.0
TOBG_MED-826.fna,62.25,3.32,,,0.0
TOBG_MED-820.fna,90.14,7.93,2062951.0,159512.0,0.0
TOBG_EAC-80.fna,50.44,1.1,,,0.0
TOBG_EAC-83.fna,75.82,0.2,1191907.0,40778.0,0.9750810000000001
TOBG_MED-643.fna,99.93,9.77,3851942.0,48078.0,0.0
TOBG_MED-645.fna,96.7,0.0,1455472.0,45828.0,0.0
TOBG_SAT-65.fna,75.95,1.08,1708736.0,26396.0,0.0
TOBG_MED-729.fna,80.3,3.28,1538660.0,34899.0,0.0
TOBG_NAT-176.fna,91.76,0.0,4034638.0,190701.0,0.999794
TOBG_NAT-109.fna,85.36,2.9,2285316.0,25595.0,0.959611
TOBG_EAC-111.fna,52.51,0.85,,,0.0
TOBG_EAC-119.fna,51.2,0.61,,,0.0
TOBG_MED-1270.fna,73.5,0.0,,,0.0
TOBG_NAT-34.fna,70.18,0.83,,,0.0
TOBG_NAT-32.fna,96.62,8.11,4783185.0,81317.0,0.999618
TOBG_RS-535.fna,83.33,0.99,1314129.0,140478.0,0.995701
TOBG_SAT-167.fna,62.07,1.72,,,0.0
TOBG_SAT-163.fna,50.86,0.0,,,0.0
TOBG_NP-71.fna,52.14,0.85,,,0.0
TOBG_SP-3106.fna,70.69,3.45,,,0.0
TOBG_SP-3101.fna,51.72,3.45,,,0.0
TOBG_SP-2987.fna,58.25,2.91,,,0.0
TOBG_RS-468.fna,54.3,3.4,,,0.0
TOBG_RS-469.fna,69.27,2.04,,,0.0
TOBG_SP-2981.fna,50.17,3.47,,,0.0
TOBG_RS-464.fna,94.39,5.13,3038814.0,89029.0,0.0
TOBG_SP-4372.fna,55.17,3.45,,,0.0
TOBG_SP-2968.fna,63.1,2.38,,,0.0
TOBG_SAT-184.fna,74.14,1.31,,,0.0
TOBG_MED-837.fna,78.09,3.85,1827968.0,32288.0,0.0
TOBG_MED-831.fna,79.48,4.35,1822500.0,24701.0,0.0
TOBG_MED-651.fna,91.83,2.69,1682645.0,45058.0,0.953523
TOBG_MED-655.fna,88.86,2.72,3265334.0,41024.0,0.983314
TOBG_MED-654.fna,96.69,3.86,1936805.0,42463.0,0.0
TOBG_MED-659.fna,95.62,2.15,4226476.0,45418.0,0.964964
TOBG_MED-658.fna,60.04,0.95,,,0.0
TOBG_SP-14.fna,72.35,0.0,,,0.0
TOBG_SP-15.fna,78.38,0.84,2620558.0,41801.0,0.0
TOBG_SP-10.fna,92.27,0.0,5902655.0,115022.0,0.0
TOBG_SP-12.fna,93.75,4.59,6175406.0,81258.0,0.992746
TOBG_NAT-115.fna,56.74,0.86,,,0.0
TOBG_NAT-112.fna,53.92,0.1,,,0.0
TOBG_MED-1269.fna,90.6,4.7,1932114.0,145839.0,0.968302
TOBG_NP-973.fna,90.56,7.75,3016006.0,56047.0,0.0
TOBG_SP-149.fna,98.02,0.17,3589936.0,176261.0,0.998357
TOBG_MED-1076.fna,84.27,1.64,1524237.0,119010.0,0.0
TOBG_RS-416.fna,91.66,4.84,1914839.0,80638.0,0.0
TOBG_RS-419.fna,76.01,0.0,1520059.0,22563.0,0.0
TOBG_NAT-27.fna,64.1,1.8,,,0.0
TOBG_SAT-1415.fna,80.79,7.72,2548298.0,30821.0,0.966759
TOBG_MED-932.fna,51.24,3.46,,,0.0
TOBG_MED-939.fna,53.44,4.42,,,0.0
TOBG_MED-791.fna,68.55,3.76,,,0.0
TOBG_SAT-59.fna,83.45,0.38,2811814.0,45639.0,0.9919
TOBG_MED-666.fna,90.57,2.69,1633593.0,43039.0,0.0
TOBG_NAT-129.fna,90.58,2.48,3876462.0,66850.0,0.999267
TOBG_EAC-625.fna,88.08,7.75,2648575.0,28786.0,0.988268
TOBG_NP-983.fna,69.84,4.42,,,0.0
TOBG_EAC-622.fna,53.51,2.44,,,0.0
TOBG_EAC-628.fna,50.49,4.94,,,0.0
TOBG_EAC-1775.fna,57.93,3.24,,,0.0
TOBG_NAT-58.fna,54.84,1.76,,,0.0
TOBG_EAC-1795.fna,55.85,0.0,,,0.0
TOBG_SP-3018.fna,77.5,3.61,3629169.0,37241.0,0.998414
TOBG_MED-811.fna,60.55,3.68,,,0.0
TOBG_MED-813.fna,90.1,6.93,1445825.0,161237.0,0.992683
TOBG_SP-104.fna,98.14,3.23,3870793.0,139984.0,0.0
TOBG_SP-4095.fna,56.59,0.0,,,0.0
TOBG_MED-679.fna,53.84,0.86,,,0.0
TOBG_MED-671.fna,93.11,0.98,3309648.0,48392.0,0.0
TOBG_MED-673.fna,96.7,3.3,2353118.0,65078.0,0.0
TOBG_MED-677.fna,87.37,2.47,1857346.0,18901.0,0.0
TOBG_MED-676.fna,100.0,5.71,2009952.0,64778.0,0.0
TOBG_SAT-208.fna,62.71,0.0,,,0.0
TOBG_SP-76.fna,96.07,0.57,2996524.0,129981.0,0.9965204999999999
TOBG_MED-789.fna,51.65,3.3,,,0.0
TOBG_EAC-2038.fna,69.28,4.43,,,0.0
TOBG_MED-783.fna,76.61,1.16,1730807.0,357326.0,0.0
TOBG_CPC-324.fna,90.44,10.0,4249882.0,64401.0,0.0
TOBG_NAT-139.fna,83.2,0.8,1426581.0,66796.0,0.0
TOBG_NAT-136.fna,85.04,1.25,1451470.0,24574.0,0.964179
TOBG_SP-357.fna,66.12,1.22,,,0.0
TOBG_ARS-1021.fna,69.63,3.74,,,0.0
TOBG_NP-25.fna,94.33,1.26,2529929.0,248498.0,0.999014
TOBG_SP-128.fna,97.73,0.0,3158757.0,816302.0,0.0
TOBG_SP-121.fna,95.45,5.68,4536377.0,260769.0,0.0
TOBG_RS-430.fna,64.84,3.26,,,0.0
TOBG_RS-436.fna,64.27,3.32,,,0.0
TOBG_NAT-46.fna,92.66,2.75,3044101.0,35855.0,0.0
TOBG_NAT-47.fna,57.05,0.0,,,0.0
TOBG_NAT-42.fna,55.34,1.94,,,0.0
TOBG_RS-346.fna,76.91,0.0,1252944.0,21738.0,0.9761245000000001
TOBG_SP-235.fna,51.35,0.0,,,0.0
TOBG_ARS-18.fna,83.13,4.89,3711261.0,25817.0,0.9884023333333333
TOBG_MED-868.fna,57.51,3.58,,,0.0
TOBG_MED-861.fna,75.78,2.03,2696486.0,17399.0,0.0
TOBG_MED-862.fna,72.89,2.69,,,0.0
TOBG_MED-863.fna,52.49,2.56,,,0.0
TOBG_MED-865.fna,56.64,4.78,,,0.0
TOBG_SAT-1611.fna,79.9,3.65,2084816.0,38780.0,0.9900647499999999
TOBG_SAT-1614.fna,91.03,8.97,2514011.0,139511.0,0.980894
TOBG_EAC-42.fna,88.58,3.3,3827229.0,33110.0,0.993869
TOBG_MED-684.fna,51.69,1.83,,,0.0
TOBG_SP-63.fna,100.0,4.08,3474921.0,429300.0,0.9872969999999999
TOBG_EAC-2025.fna,64.08,3.88,,,0.0
TOBG_SAT-72.fna,52.91,1.94,,,0.0
TOBG_MED-1233.fna,80.11,9.09,1883303.0,70484.0,0.0
TOBG_SP-130.fna,59.15,1.01,,,0.0
TOBG_EAC-707.fna,86.53,9.14,2734821.0,35706.0,0.9883755000000001
TOBG_EAC-703.fna,56.94,4.43,,,0.0
TOBG_MED-1047.fna,74.93,2.93,,,0.0
TOBG_EAC-708.fna,70.82,3.42,,,0.0
TOBG_NAT-77.fna,60.83,0.85,,,0.0
TOBG_RS-358.fna,64.17,0.0,,,0.0
TOBG_RS-359.fna,72.0,0.81,,,0.0
TOBG_RS-357.fna,89.94,3.85,2646665.0,93601.0,0.99373
TOBG_RS-353.fna,61.14,0.57,,,0.0
TOBG_SP-220.fna,56.62,1.47,,,0.0
TOBG_NAT-98.fna,63.64,0.0,,,0.0
TOBG_NAT-97.fna,51.42,1.28,,,0.0
TOBG_NAT-96.fna,80.93,4.0,1781012.0,30401.0,0.978086
TOBG_NAT-95.fna,52.42,0.43,,,0.0
TOBG_ARS-28.fna,81.25,1.2,4406224.0,22168.0,0.991401
TOBG_EAC-78.fna,83.15,4.9,2133106.0,28212.0,0.0
TOBG_MED-696.fna,74.63,1.35,,,0.0
TOBG_MED-695.fna,90.12,0.6,2846697.0,26509.0,0.0
TOBG_MED-693.fna,60.28,0.27,,,0.0
TOBG_MED-691.fna,55.17,0.0,,,0.0
TOBG_SP-150.fna,86.49,1.08,2027259.0,35349.0,0.0
TOBG_EAC-2011.fna,77.34,2.97,1305449.0,19703.0,0.9738085000000001
TOBG_NAT-153.fna,62.08,1.08,,,0.0
TOBG_MED-1229.fna,52.26,1.06,,,0.0
TOBG_MED-1223.fna,71.73,0.8,,,0.0
TOBG_NP-933.fna,51.94,3.88,,,0.0
TOBG_RS-362.fna,55.63,0.19,,,0.0
TOBG_RS-365.fna,75.27,0.0,1600229.0,13780.0,0.0
TOBG_SAT-1290.fna,50.86,4.7,,,0.0
TOBG_SP-217.fna,53.59,0.0,,,0.0
TOBG_NAT-85.fna,83.43,3.99,3683509.0,25720.0,0.999696
TOBG_SAT-2654.fna,54.37,0.27,,,0.0
TOBG_ARS-32.fna,59.4,0.0,,,0.0
TOBG_ARS-39.fna,54.56,0.0,,,0.0
TOBG_MED-844.fna,59.94,2.78,,,0.0
TOBG_MED-845.fna,65.78,4.17,,,0.0
TOBG_MED-842.fna,52.32,4.4,,,0.0
TOBG_SP-119.fna,96.67,4.46,4498809.0,96876.0,0.0
TOBG_SP-46.fna,54.8,0.0,,,0.0
TOBG_SP-44.fna,57.3,1.69,,,0.0
TOBG_SP-40.fna,69.28,0.0,,,0.0
TOBG_EAC-62.fna,99.14,0.0,3895818.0,618089.0,0.9998735000000001
TOBG_MED-738.fna,76.53,0.84,1807295.0,43008.0,0.0
TOBG_MED-734.fna,98.74,4.86,2592778.0,58338.0,0.0
TOBG_MED-735.fna,97.79,8.82,2242875.0,124646.0,0.0
TOBG_MED-736.fna,92.27,4.18,2247865.0,85799.0,0.0
TOBG_MED-737.fna,68.93,0.0,,,0.0
TOBG_MED-731.fna,86.97,1.12,1095174.0,152839.0,0.95644
TOBG_SAT-214.fna,74.73,1.1,,,0.0
TOBG_EAC-669.fna,61.87,3.32,,,0.0
TOBG_SAT-101.fna,98.78,1.33,4047777.0,157843.0,0.9888823333333333
TOBG_NAT-184.fna,58.1,1.1,,,0.0
TOBG_SP-113.fna,97.51,3.53,6843540.0,118601.0,0.990222
TOBG_RS-376.fna,95.95,4.86,5828739.0,39362.0,0.993845
TOBG_RS-377.fna,69.59,0.0,,,0.0
TOBG_MED-1155.fna,84.7,7.4,1910504.0,37489.0,0.0
TOBG_SP-3053.fna,65.17,2.03,,,0.0
TOBG_SP-3055.fna,89.48,7.86,1702214.0,52580.0,0.0
TOBG_MED-854.fna,67.75,2.16,,,0.0
TOBG_MED-857.fna,72.48,2.67,,,0.0
TOBG_MED-856.fna,75.97,2.03,1796199.0,42261.0,0.0
TOBG_RS-399.fna,53.06,0.0,,,0.0
TOBG_RS-393.fna,68.4,0.61,,,0.0
TOBG_SP-3980.fna,57.93,3.45,,,0.0
TOBG_NAT-214.fna,66.09,2.56,,,0.0
TOBG_NAT-213.fna,53.4,3.88,,,0.0
TOBG_SP-97.fna,98.81,8.99,7154299.0,602336.0,0.999851
TOBG_NAT-177.fna,62.65,0.85,,,0.0
TOBG_MED-726.fna,58.97,1.3,,,0.0
TOBG_MED-720.fna,53.69,0.57,,,0.0
TOBG_NAT-191.fna,59.48,0.0,,,0.0
TOBG_NP-131.fna,51.4,0.0,,,0.0
TOBG_MED-1017.fna,84.35,6.15,1110878.0,18529.0,0.0
TOBG_SAT-2701.fna,53.45,0.0,,,0.0
TOBG_SP-278.fna,59.4,1.19,,,0.0
TOBG_SP-271.fna,61.73,0.0,,,0.0
TOBG_SP-270.fna,62.07,0.0,,,0.0
TOBG_RS-723.fna,64.14,4.01,,,0.0
TOBG_MED-588.fna,94.97,3.01,4336285.0,43016.0,0.0
TOBG_SP-308.fna,53.68,0.0,,,0.0
TOBG_SAT-1508.fna,76.53,4.8,2044475.0,50149.0,0.977969
TOBG_MED-582.fna,87.8,3.62,1971941.0,30442.0,0.0
TOBG_SAT-1476.fna,55.9,3.95,,,0.0
TOBG_EAC-99.fna,81.47,4.2,1028458.0,59746.0,0.9695579999999999
TOBG_MED-882.fna,71.29,2.97,,,0.0
TOBG_SAT-14.fna,76.4,1.18,3358676.0,26029.0,0.9761584999999999
TOBG_NAT-208.fna,54.88,2.17,,,0.0
TOBG_NAT-206.fna,82.18,7.66,2234547.0,21176.0,0.9804615000000001
TOBG_NAT-201.fna,80.64,6.46,2847930.0,206028.0,0.9873725
TOBG_SP-84.fna,84.07,1.69,3349955.0,37164.0,0.0
TOBG_MED-718.fna,75.62,0.38,1023051.0,58884.0,0.0
TOBG_MED-712.fna,80.16,2.2,1570915.0,80888.0,0.0
TOBG_MED-713.fna,84.55,1.48,1041846.0,246483.0,0.970929
TOBG_MED-710.fna,59.74,0.0,,,0.0
TOBG_SAT-159.fna,85.47,2.21,2010063.0,51976.0,0.963597
TOBG_NP-1374.fna,68.03,0.0,,,0.0
TOBG_ARS-1304.fna,56.47,4.49,,,0.0
TOBG_NAT-168.fna,79.13,0.97,981568.0,25131.0,0.0
TOBG_MED-733.fna,95.6,3.85,2274919.0,58949.0,0.0
TOBG_NP-127.fna,97.68,2.25,3428059.0,50712.0,0.9920192
TOBG_CPC-99.fna,52.49,0.0,,,0.0
TOBG_CPC-98.fna,94.5,0.33,3481067.0,59970.0,0.998774
TOBG_CPC-97.fna,93.28,4.84,1654937.0,87014.0,0.0
TOBG_CPC-95.fna,99.63,6.69,4033935.0,171514.0,0.9830920000000001
TOBG_CPC-94.fna,52.41,1.88,,,0.0
TOBG_CPC-93.fna,60.43,1.96,,,0.0
TOBG_CPC-92.fna,54.17,1.45,,,0.0
TOBG_CPC-91.fna,51.57,1.28,,,0.0
TOBG_CPC-90.fna,68.38,0.43,,,0.0
TOBG_CPC-9.fna,95.83,1.7,5071512.0,43655.0,0.0
TOBG_CPC-89.fna,53.24,0.0,,,0.0
TOBG_CPC-88.fna,64.51,0.0,,,0.0
TOBG_CPC-86.fna,98.86,9.3,2903787.0,139376.0,0.0
TOBG_CPC-85.fna,88.98,1.7,3593470.0,48589.0,0.0
TOBG_CPC-84.fna,72.11,0.0,,,0.0
TOBG_CPC-83.fna,56.99,1.14,,,0.0
TOBG_CPC-80.fna,91.46,4.18,2153521.0,28129.0,0.0
TOBG_CPC-8.fna,99.25,0.14,4656670.0,97038.0,0.973712
TOBG_CPC-78.fna,65.83,0.0,,,0.0
TOBG_CPC-77.fna,55.21,1.9,,,0.0
TOBG_CPC-76.fna,54.79,0.05,,,0.0
TOBG_CPC-75.fna,76.67,1.65,2236758.0,58222.0,0.0
TOBG_CPC-74.fna,72.3,1.17,,,0.0
TOBG_CPC-73.fna,84.2,0.0,2059111.0,33453.0,0.0
TOBG_CPC-72.fna,97.01,2.67,3724617.0,99165.0,0.0
TOBG_CPC-70.fna,99.24,0.19,3401895.0,303219.0,0.999758
TOBG_CPC-7.fna,97.95,1.95,3563707.0,45353.0,0.988925
TOBG_CPC-69.fna,99.08,1.03,4462782.0,83599.0,0.999535
TOBG_CPC-68.fna,68.62,0.0,,,0.0
TOBG_CPC-67.fna,92.84,0.46,3073893.0,23617.0,0.99078
TOBG_CPC-66.fna,58.56,0.34,,,0.0
TOBG_CPC-65.fna,62.73,0.61,,,0.0
TOBG_CPC-64.fna,91.95,0.55,3164348.0,27520.0,0.0
TOBG_CPC-63.fna,56.9,0.0,,,0.0
TOBG_CPC-62.fna,79.78,0.81,3794800.0,14733.0,0.972526
TOBG_CPC-61.fna,80.16,2.33,3163279.0,41917.0,0.0
TOBG_CPC-60.fna,69.55,0.81,,,0.0
TOBG_CPC-6.fna,93.67,2.38,4062975.0,32683.0,0.0
TOBG_CPC-59.fna,85.16,3.17,2233492.0,19160.0,0.0
TOBG_CPC-58.fna,85.66,2.8,2908243.0,39972.0,0.0
TOBG_CPC-57.fna,50.89,0.0,,,0.0
TOBG_CPC-56.fna,63.34,0.44,,,0.0
TOBG_CPC-55.fna,67.47,1.72,,,0.0
TOBG_CPC-54.fna,77.72,1.75,2564067.0,16141.0,0.0
TOBG_CPC-53.fna,85.74,0.84,3638156.0,26734.0,0.9922035
TOBG_CPC-52.fna,91.09,3.17,3486621.0,16923.0,0.0
TOBG_CPC-51.fna,97.85,3.23,5396125.0,137317.0,0.0
TOBG_CPC-50.fna,80.73,4.08,3119870.0,18249.0,0.0
TOBG_CPC-5.fna,100.0,2.25,3343779.0,173894.0,0.9926046
TOBG_CPC-49.fna,97.56,7.83,3385270.0,105807.0,0.9711515
TOBG_CPC-48.fna,96.98,7.89,4321600.0,33401.0,0.973346
TOBG_CPC-47.fna,76.62,1.69,2113371.0,16027.0,0.9809367499999999
TOBG_CPC-46.fna,89.12,3.27,2968318.0,16653.0,0.9981815
TOBG_CPC-45.fna,96.38,2.6,3599540.0,36027.0,0.0
TOBG_CPC-44.fna,50.67,0.0,,,0.0
TOBG_CPC-43.fna,99.0,0.0,4682359.0,101525.0,0.0
TOBG_CPC-42.fna,96.96,5.29,4517664.0,105895.0,0.972015
TOBG_CPC-40.fna,99.25,2.92,5270755.0,162717.0,0.0
TOBG_CPC-4.fna,63.32,0.98,,,0.0
TOBG_CPC-39.fna,76.0,1.81,3018114.0,12363.0,0.9937484999999999
TOBG_CPC-38.fna,99.02,8.04,5034057.0,72199.0,0.998524
TOBG_CPC-37.fna,52.59,0.0,,,0.0
TOBG_CPC-36.fna,63.97,0.0,,,0.0
TOBG_CPC-35.fna,62.67,1.68,,,0.0
TOBG_CPC-34.fna,82.58,3.09,3128815.0,71341.0,0.9870205999999999
TOBG_CPC-33.fna,82.19,1.0,2058035.0,15338.0,0.9821356
TOBG_CPC-327.fna,78.0,3.71,3226856.0,60473.0,0.9899065
TOBG_CPC-326.fna,63.38,3.2,,,0.0
TOBG_CPC-325.fna,66.29,3.8,,,0.0
TOBG_CPC-323.fna,79.89,2.37,1565616.0,39976.0,0.0
TOBG_CPC-322.fna,74.53,4.55,,,0.0
TOBG_CPC-320.fna,88.23,5.08,3369777.0,29950.0,0.984942
TOBG_CPC-32.fna,91.27,0.14,3420632.0,23953.0,0.0
TOBG_CPC-319.fna,80.48,6.0,2399081.0,23410.0,0.970722
TOBG_CPC-317.fna,58.66,2.21,,,0.0
TOBG_CPC-316.fna,90.26,6.43,3334233.0,189681.0,0.0
TOBG_CPC-31.fna,90.81,1.11,7060560.0,20642.0,0.0
TOBG_CPC-41.fna,98.92,1.61,3448277.0,81412.0,0.999084
TOBG_CPC-309.fna,81.05,7.86,2906968.0,23647.0,0.0
TOBG_CPC-307.fna,51.65,3.09,,,0.0
TOBG_CPC-306.fna,63.86,3.61,,,0.0
TOBG_CPC-305.fna,82.11,5.39,2250599.0,38343.0,0.0
TOBG_CPC-302.fna,69.35,3.47,,,0.0
TOBG_CPC-301.fna,61.0,2.3,,,0.0
TOBG_CPC-300.fna,78.86,2.04,2790782.0,18361.0,0.969718
TOBG_CPC-30.fna,80.96,0.0,1934576.0,32074.0,0.0
TOBG_CPC-3.fna,93.18,2.27,3688905.0,28072.0,0.0
TOBG_CPC-297.fna,83.31,5.11,2981401.0,19938.0,0.0
TOBG_CPC-295.fna,62.83,2.1,,,0.0
TOBG_CPC-294.fna,81.03,6.9,3874193.0,54344.0,0.9917885
TOBG_CPC-293.fna,67.78,2.87,,,0.0
TOBG_CPC-291.fna,62.65,2.49,,,0.0
TOBG_CPC-290.fna,68.69,4.3,,,0.0
TOBG_CPC-29.fna,75.6,1.02,1356679.0,15570.0,0.0
TOBG_CPC-289.fna,90.06,5.95,1073347.0,61239.0,0.0
TOBG_CPC-288.fna,91.18,9.81,1980058.0,26465.0,0.950059
TOBG_CPC-28.fna,95.97,2.14,4126914.0,94912.0,0.0
TOBG_CPC-27.fna,87.1,4.32,3496503.0,40584.0,0.0
TOBG_CPC-26.fna,66.12,1.14,,,0.0
TOBG_CPC-25.fna,96.22,1.14,3437953.0,57058.0,0.0
TOBG_CPC-24.fna,79.49,1.12,4047420.0,16145.0,0.0
TOBG_CPC-23.fna,88.68,1.73,4535755.0,20512.0,0.0
TOBG_CPC-22.fna,66.2,1.94,,,0.0
