reference,querry,ani,alignment_coverage,primary_cluster
TOBG_IN-924.fna,TOBG_SAT-1582.fna,0.9729519999999999,0.5846645367412141,434
TOBG_SAT-1582.fna,TOBG_SAT-1582.fna,1.0,0.9956521739130435,434
TOBG_ARS-1036.fna,TOBG_ARS-1036.fna,1.0,0.9864559819413092,226
TOBG_ARS-112.fna,TOBG_ARS-112.fna,1.0,0.9556135770234987,441
TOBG_NP-16.fna,TOBG_ARS-112.fna,0.9997360000000001,0.9563058589870904,441
TOBG_SAT-62.fna,TOBG_ARS-112.fna,0.889945,0.7994454713493531,441
TOBG_SAT-85.fna,TOBG_ARS-112.fna,0.999689,0.9064327485380117,441
TOBG_ARS-112.fna,TOBG_NP-16.fna,0.998698,0.825065274151436,441
TOBG_NP-16.fna,TOBG_NP-16.fna,1.0,0.9880834160873883,441
TOBG_SAT-62.fna,TOBG_NP-16.fna,0.8891089999999999,0.7236598890942699,441
TOBG_SAT-85.fna,TOBG_NP-16.fna,0.9986579999999999,0.8270676691729323,441
TOBG_ARS-112.fna,TOBG_SAT-62.fna,0.890277,0.7589208006962577,441
TOBG_NP-16.fna,TOBG_SAT-62.fna,0.88877,0.8023833167825224,441
TOBG_SAT-62.fna,TOBG_SAT-62.fna,1.0,0.9916820702402958,441
TOBG_SAT-85.fna,TOBG_SAT-62.fna,0.8898579999999999,0.746031746031746,441
TOBG_ARS-112.fna,TOBG_SAT-85.fna,0.999607,0.9495213228894691,441
TOBG_NP-16.fna,TOBG_SAT-85.fna,0.999641,0.9910625620655412,441
TOBG_SAT-62.fna,TOBG_SAT-85.fna,0.8892669999999999,0.8179297597042514,441
TOBG_SAT-85.fna,TOBG_SAT-85.fna,1.0,0.9649122807017544,441
TOBG_ARS-115.fna,TOBG_ARS-115.fna,1.0,0.9973856209150327,308
TOBG_CPC-14.fna,TOBG_ARS-115.fna,0.890194,0.5850945494994438,308
TOBG_SP-259.fna,TOBG_ARS-115.fna,0.9817239999999999,0.7189542483660131,308
TOBG_ARS-115.fna,TOBG_CPC-14.fna,0.893011,0.665359477124183,308
TOBG_CPC-14.fna,TOBG_CPC-14.fna,1.0,0.9977753058954394,308
TOBG_SP-259.fna,TOBG_CPC-14.fna,0.890436,0.7895424836601307,308
TOBG_ARS-115.fna,TOBG_SP-259.fna,0.982077,0.7320261437908496,308
TOBG_CPC-14.fna,TOBG_SP-259.fna,0.8891509999999999,0.6729699666295884,308
TOBG_SP-259.fna,TOBG_SP-259.fna,0.999999,0.9973856209150327,308
TOBG_ARS-1168.fna,TOBG_ARS-1168.fna,1.0,0.9946949602122016,15
TOBG_ARS-1176.fna,TOBG_ARS-1176.fna,1.0,0.9935275080906149,789
TOBG_ARS-1199.fna,TOBG_ARS-1199.fna,1.0,1.0,720
TOBG_ARS-11.fna,TOBG_ARS-11.fna,1.0,0.9978880675818373,74
TOBG_ARS-120.fna,TOBG_ARS-120.fna,1.0,0.9949545913218971,45
TOBG_ARS-123.fna,TOBG_ARS-123.fna,1.0,0.984070796460177,5
TOBG_EAC-65.fna,TOBG_ARS-123.fna,0.959645,0.6499261447562777,5
TOBG_IN-1213.fna,TOBG_ARS-123.fna,0.9634969999999999,0.7125435540069687,5
TOBG_RS-817.fna,TOBG_ARS-123.fna,0.978536,0.6987179487179487,5
TOBG_ARS-123.fna,TOBG_EAC-65.fna,0.962488,0.7964601769911505,5
TOBG_EAC-65.fna,TOBG_EAC-65.fna,1.0,0.9881831610044313,5
TOBG_IN-1213.fna,TOBG_EAC-65.fna,0.982907,0.8937282229965157,5
TOBG_RS-817.fna,TOBG_EAC-65.fna,0.959405,0.8894230769230769,5
TOBG_ARS-123.fna,TOBG_IN-1213.fna,0.965577,0.7238938053097345,5
TOBG_EAC-65.fna,TOBG_IN-1213.fna,0.9822069999999999,0.7429837518463811,5
TOBG_IN-1213.fna,TOBG_IN-1213.fna,1.0,0.9790940766550522,5
TOBG_RS-817.fna,TOBG_IN-1213.fna,0.962303,0.7692307692307693,5
TOBG_ARS-123.fna,TOBG_RS-817.fna,0.982693,0.7663716814159292,5
TOBG_EAC-65.fna,TOBG_RS-817.fna,0.959919,0.8064992614475628,5
TOBG_IN-1213.fna,TOBG_RS-817.fna,0.963505,0.837979094076655,5
TOBG_RS-817.fna,TOBG_RS-817.fna,1.0,0.9951923076923077,5
TOBG_ARS-1279.fna,TOBG_ARS-1279.fna,1.0,0.9903147699757869,456
TOBG_ARS-1330.fna,TOBG_ARS-1330.fna,0.999999,0.9882352941176471,17
TOBG_ARS-1358.fna,TOBG_ARS-1358.fna,1.0,1.0,992
TOBG_ARS-1360.fna,TOBG_ARS-1360.fna,1.0,0.9894736842105263,37
TOBG_ARS-13.fna,TOBG_ARS-13.fna,1.0,0.9943089430894309,985
TOBG_SAT-195.fna,TOBG_ARS-13.fna,0.9993770000000001,0.9809610154125114,985
TOBG_ARS-13.fna,TOBG_SAT-195.fna,0.999445,0.8829268292682927,985
TOBG_SAT-195.fna,TOBG_SAT-195.fna,1.0,0.9972801450589301,985
TOBG_ARS-1426.fna,TOBG_ARS-1426.fna,1.0,0.9966666666666667,149
TOBG_ARS-1434.fna,TOBG_ARS-1434.fna,1.0,0.987264673311185,917
TOBG_ARS-1441.fna,TOBG_ARS-1441.fna,0.9999979999999999,0.9922178988326849,599
TOBG_ARS-15.fna,TOBG_ARS-15.fna,1.0,0.9944717444717445,168
TOBG_ARS-16.fna,TOBG_ARS-16.fna,1.0,0.9805924412665986,401
TOBG_ARS-17.fna,TOBG_ARS-17.fna,1.0,0.9933333333333333,155
TOBG_NP-133.fna,TOBG_ARS-17.fna,0.90486,0.9085872576177285,155
TOBG_ARS-17.fna,TOBG_NP-133.fna,0.9044989999999999,0.658,155
TOBG_NP-133.fna,TOBG_NP-133.fna,1.0,0.9981532779316713,155
TOBG_ARS-18.fna,TOBG_ARS-18.fna,1.0,0.9912739965095986,708
TOBG_EAC-45.fna,TOBG_ARS-18.fna,0.988757,0.7065368567454798,708
TOBG_SAT-101.fna,TOBG_ARS-18.fna,0.986725,0.7287113790504898,708
TOBG_SP-3072.fna,TOBG_ARS-18.fna,0.986589,0.7386070507308684,708
TOBG_ARS-18.fna,TOBG_EAC-45.fna,0.990977,0.893542757417103,708
TOBG_EAC-45.fna,TOBG_EAC-45.fna,1.0,0.9909596662030598,708
TOBG_SAT-101.fna,TOBG_EAC-45.fna,0.987448,0.9502637528259231,708
TOBG_SP-3072.fna,TOBG_EAC-45.fna,0.9871989999999999,0.9174548581255374,708
TOBG_ARS-18.fna,TOBG_SAT-101.fna,0.987641,0.8621291448516579,708
TOBG_EAC-45.fna,TOBG_SAT-101.fna,0.987143,0.8692628650904033,708
TOBG_SAT-101.fna,TOBG_SAT-101.fna,1.0,0.9992464204973625,708
TOBG_SP-3072.fna,TOBG_SAT-101.fna,0.9931730000000001,0.9234737747205503,708
TOBG_ARS-18.fna,TOBG_SP-3072.fna,0.986589,0.7582897033158813,708
TOBG_EAC-45.fna,TOBG_SP-3072.fna,0.987282,0.7420027816411683,708
TOBG_SAT-101.fna,TOBG_SP-3072.fna,0.992474,0.813112283345893,708
TOBG_SP-3072.fna,TOBG_SP-3072.fna,1.0,0.9939810834049871,708
TOBG_ARS-1.fna,TOBG_ARS-1.fna,1.0,0.9901234567901235,658
TOBG_ARS-24.fna,TOBG_ARS-24.fna,1.0,0.9854497354497355,225
TOBG_CPC-47.fna,TOBG_ARS-24.fna,0.9815619999999999,0.8267090620031796,225
TOBG_EAC-97.fna,TOBG_ARS-24.fna,0.983467,0.7532846715328467,225
TOBG_NAT-91.fna,TOBG_ARS-24.fna,0.978584,0.6768743400211193,225
TOBG_RS-397.fna,TOBG_ARS-24.fna,0.981381,0.7925925925925926,225
TOBG_ARS-24.fna,TOBG_CPC-47.fna,0.982028,0.6825396825396826,225
TOBG_CPC-47.fna,TOBG_CPC-47.fna,1.0,0.9841017488076311,225
TOBG_EAC-97.fna,TOBG_CPC-47.fna,0.9804170000000001,0.656934306569343,225
TOBG_NAT-91.fna,TOBG_CPC-47.fna,0.978903,0.5649419218585006,225
TOBG_RS-397.fna,TOBG_CPC-47.fna,0.978659,0.6711111111111111,225
TOBG_ARS-24.fna,TOBG_EAC-97.fna,0.9834919999999999,0.6891534391534392,225
TOBG_CPC-47.fna,TOBG_EAC-97.fna,0.9824649999999999,0.7186009538950715,225
TOBG_EAC-97.fna,TOBG_EAC-97.fna,1.0,0.9956204379562044,225
TOBG_NAT-91.fna,TOBG_EAC-97.fna,0.978905,0.6399155227032735,225
TOBG_RS-397.fna,TOBG_EAC-97.fna,0.9831359999999999,0.6888888888888889,225
TOBG_ARS-24.fna,TOBG_NAT-91.fna,0.979889,0.8518518518518519,225
TOBG_CPC-47.fna,TOBG_NAT-91.fna,0.980354,0.8839427662957074,225
TOBG_EAC-97.fna,TOBG_NAT-91.fna,0.9812090000000001,0.8569343065693431,225
TOBG_NAT-91.fna,TOBG_NAT-91.fna,1.0,0.9989440337909187,225
TOBG_RS-397.fna,TOBG_NAT-91.fna,0.9784480000000001,0.8962962962962963,225
TOBG_ARS-24.fna,TOBG_RS-397.fna,0.9815609999999999,0.705026455026455,225
TOBG_CPC-47.fna,TOBG_RS-397.fna,0.979366,0.7201907790143084,225
TOBG_EAC-97.fna,TOBG_RS-397.fna,0.981803,0.6656934306569343,225
TOBG_NAT-91.fna,TOBG_RS-397.fna,0.976409,0.6261879619852164,225
TOBG_RS-397.fna,TOBG_RS-397.fna,1.0,0.9925925925925926,225
TOBG_ARS-27.fna,TOBG_ARS-27.fna,1.0,0.9811320754716981,289
TOBG_ARS-28.fna,TOBG_ARS-28.fna,1.0,0.9866666666666667,927
TOBG_MED-599.fna,TOBG_ARS-28.fna,0.915513,0.7241610738255033,927
TOBG_NAT-79.fna,TOBG_ARS-28.fna,0.9177649999999999,0.7761304670126019,927
TOBG_NP-60.fna,TOBG_ARS-28.fna,0.920312,0.6303418803418803,927
TOBG_RS-423.fna,TOBG_ARS-28.fna,0.989772,0.7197149643705463,927
TOBG_SAT-10.fna,TOBG_ARS-28.fna,0.916311,0.7473614775725593,927
TOBG_ARS-28.fna,TOBG_MED-599.fna,0.915227,0.7985185185185185,927
TOBG_MED-599.fna,TOBG_MED-599.fna,1.0,0.9932885906040269,927
TOBG_NAT-79.fna,TOBG_MED-599.fna,0.973046,0.8554484803558191,927
TOBG_NP-60.fna,TOBG_MED-599.fna,0.967495,0.7003205128205128,927
TOBG_RS-423.fna,TOBG_MED-599.fna,0.91468,0.7494061757719715,927
TOBG_SAT-10.fna,TOBG_MED-599.fna,0.979651,0.8271767810026385,927
TOBG_ARS-28.fna,TOBG_NAT-79.fna,0.9189060000000001,0.7792592592592592,927
TOBG_MED-599.fna,TOBG_NAT-79.fna,0.9729040000000001,0.7805369127516778,927
TOBG_NAT-79.fna,TOBG_NAT-79.fna,1.0,0.9948109710896961,927
TOBG_NP-60.fna,TOBG_NAT-79.fna,0.9757089999999999,0.6896367521367521,927
TOBG_RS-423.fna,TOBG_NAT-79.fna,0.917672,0.7280285035629454,927
TOBG_SAT-10.fna,TOBG_NAT-79.fna,0.975256,0.8146437994722955,927
TOBG_ARS-28.fna,TOBG_NP-60.fna,0.921407,0.8874074074074074,927
TOBG_MED-599.fna,TOBG_NP-60.fna,0.967957,0.8906040268456376,927
TOBG_NAT-79.fna,TOBG_NP-60.fna,0.9762149999999999,0.9540400296515937,927
TOBG_NP-60.fna,TOBG_NP-60.fna,1.0,0.9967948717948718,927
TOBG_RS-423.fna,TOBG_NP-60.fna,0.919555,0.8456057007125891,927
TOBG_SAT-10.fna,TOBG_NP-60.fna,0.970145,0.9162269129287599,927
TOBG_ARS-28.fna,TOBG_RS-423.fna,0.9914010000000001,0.9074074074074074,927
TOBG_MED-599.fna,TOBG_RS-423.fna,0.9147669999999999,0.8496644295302014,927
TOBG_NAT-79.fna,TOBG_RS-423.fna,0.9175530000000001,0.9088213491475167,927
TOBG_NP-60.fna,TOBG_RS-423.fna,0.919741,0.7558760683760684,927
TOBG_RS-423.fna,TOBG_RS-423.fna,1.0,0.9922802850356295,927
TOBG_SAT-10.fna,TOBG_RS-423.fna,0.916288,0.8647757255936676,927
TOBG_ARS-28.fna,TOBG_SAT-10.fna,0.916291,0.8414814814814815,927
TOBG_MED-599.fna,TOBG_SAT-10.fna,0.980179,0.8328859060402685,927
TOBG_NAT-79.fna,TOBG_SAT-10.fna,0.9749859999999999,0.9140103780578206,927
TOBG_NP-60.fna,TOBG_SAT-10.fna,0.9697119999999999,0.7425213675213675,927
TOBG_RS-423.fna,TOBG_SAT-10.fna,0.915618,0.7808788598574822,927
TOBG_SAT-10.fna,TOBG_SAT-10.fna,1.0,0.9927440633245382,927
TOBG_ARS-29.fna,TOBG_ARS-29.fna,1.0,0.9820936639118457,400
TOBG_NP-24.fna,TOBG_ARS-29.fna,0.983746,0.7073906485671192,400
TOBG_ARS-29.fna,TOBG_NP-24.fna,0.9800329999999999,0.640495867768595,400
TOBG_NP-24.fna,TOBG_NP-24.fna,1.0,0.9834087481146304,400
TOBG_ARS-30.fna,TOBG_ARS-30.fna,1.0,0.9892857142857143,138
TOBG_IN-43.fna,TOBG_ARS-30.fna,0.974262,0.7412353923205343,138
TOBG_MED-637.fna,TOBG_ARS-30.fna,0.908536,0.6651515151515152,138
TOBG_NP-52.fna,TOBG_ARS-30.fna,0.90821,0.712241653418124,138
TOBG_RS-404.fna,TOBG_ARS-30.fna,0.955443,0.7414721723518851,138
TOBG_ARS-30.fna,TOBG_IN-43.fna,0.9749490000000001,0.8017857142857143,138
TOBG_IN-43.fna,TOBG_IN-43.fna,1.0,0.994991652754591,138
TOBG_MED-637.fna,TOBG_IN-43.fna,0.899084,0.7181818181818181,138
TOBG_NP-52.fna,TOBG_IN-43.fna,0.899115,0.7615262321144675,138
TOBG_RS-404.fna,TOBG_IN-43.fna,0.9484569999999999,0.829443447037702,138
TOBG_ARS-30.fna,TOBG_MED-637.fna,0.9104430000000001,0.7803571428571429,138
TOBG_IN-43.fna,TOBG_MED-637.fna,0.9003610000000001,0.7796327212020033,138
TOBG_MED-637.fna,TOBG_MED-637.fna,1.0,0.9954545454545455,138
TOBG_NP-52.fna,TOBG_MED-637.fna,0.9810509999999999,0.8282988871224165,138
TOBG_RS-404.fna,TOBG_MED-637.fna,0.9084829999999999,0.8509874326750448,138
TOBG_ARS-30.fna,TOBG_NP-52.fna,0.910183,0.7982142857142858,138
TOBG_IN-43.fna,TOBG_NP-52.fna,0.901202,0.7913188647746243,138
TOBG_MED-637.fna,TOBG_NP-52.fna,0.981424,0.7893939393939394,138
TOBG_NP-52.fna,TOBG_NP-52.fna,1.0,0.9904610492845787,138
TOBG_RS-404.fna,TOBG_NP-52.fna,0.908612,0.8384201077199281,138
TOBG_ARS-30.fna,TOBG_RS-404.fna,0.955724,0.7410714285714286,138
TOBG_IN-43.fna,TOBG_RS-404.fna,0.948593,0.7796327212020033,138
TOBG_MED-637.fna,TOBG_RS-404.fna,0.907813,0.7287878787878788,138
TOBG_NP-52.fna,TOBG_RS-404.fna,0.907285,0.7599364069952306,138
TOBG_RS-404.fna,TOBG_RS-404.fna,1.0,0.9910233393177738,138
TOBG_ARS-31.fna,TOBG_ARS-31.fna,1.0,0.9821029082774049,198
TOBG_ARS-33.fna,TOBG_ARS-33.fna,1.0,0.9951060358890701,76
TOBG_ARS-34.fna,TOBG_ARS-34.fna,1.0,0.9909008189262967,80
TOBG_ARS-38.fna,TOBG_ARS-38.fna,1.0,0.9970223325062034,180
TOBG_RS-355.fna,TOBG_ARS-38.fna,0.999568,0.9525909592061742,180
TOBG_ARS-38.fna,TOBG_RS-355.fna,0.99922,0.8521091811414392,180
TOBG_RS-355.fna,TOBG_RS-355.fna,1.0,0.9972436604189636,180
TOBG_ARS-3.fna,TOBG_ARS-3.fna,1.0,0.9918478260869565,218
TOBG_ARS-40.fna,TOBG_ARS-40.fna,1.0,0.9960998439937597,484
TOBG_CPC-82.fna,TOBG_ARS-40.fna,0.973164,0.9272419627749577,484
TOBG_MED-659.fna,TOBG_ARS-40.fna,0.9361700000000001,0.8578869047619048,484
TOBG_SP-145.fna,TOBG_ARS-40.fna,0.937325,0.8606173994387278,484
TOBG_ARS-40.fna,TOBG_CPC-82.fna,0.972734,0.8463338533541341,484
TOBG_CPC-82.fna,TOBG_CPC-82.fna,0.999999,0.9949238578680203,484
TOBG_MED-659.fna,TOBG_CPC-82.fna,0.9311879999999999,0.7790178571428571,484
TOBG_SP-145.fna,TOBG_CPC-82.fna,0.931019,0.7960710944808232,484
TOBG_ARS-40.fna,TOBG_MED-659.fna,0.937094,0.9009360374414976,484
TOBG_CPC-82.fna,TOBG_MED-659.fna,0.932231,0.8857868020304569,484
TOBG_MED-659.fna,TOBG_MED-659.fna,1.0,0.9918154761904762,484
TOBG_SP-145.fna,TOBG_MED-659.fna,0.9657420000000001,0.8615528531337698,484
TOBG_ARS-40.fna,TOBG_SP-145.fna,0.9364480000000001,0.7269890795631825,484
TOBG_CPC-82.fna,TOBG_SP-145.fna,0.931597,0.7250423011844331,484
TOBG_MED-659.fna,TOBG_SP-145.fna,0.9649639999999999,0.6860119047619048,484
TOBG_SP-145.fna,TOBG_SP-145.fna,1.0,0.9943872778297475,484
TOBG_ARS-42.fna,TOBG_ARS-42.fna,1.0,0.9906166219839142,548
TOBG_EAC-24.fna,TOBG_ARS-42.fna,0.989717,0.8713692946058091,548
TOBG_IN-1077.fna,TOBG_ARS-42.fna,0.996271,0.8707482993197279,548
TOBG_SP-348.fna,TOBG_ARS-42.fna,0.979973,0.8165760869565217,548
TOBG_ARS-42.fna,TOBG_EAC-24.fna,0.9898269999999999,0.8337801608579088,548
TOBG_EAC-24.fna,TOBG_EAC-24.fna,1.0,0.9972337482710927,548
TOBG_IN-1077.fna,TOBG_EAC-24.fna,0.990557,0.8248299319727891,548
TOBG_SP-348.fna,TOBG_EAC-24.fna,0.9777419999999999,0.7744565217391305,548
TOBG_ARS-42.fna,TOBG_IN-1077.fna,0.9956579999999999,0.6823056300268097,548
TOBG_EAC-24.fna,TOBG_IN-1077.fna,0.989408,0.6666666666666666,548
TOBG_IN-1077.fna,TOBG_IN-1077.fna,1.0,0.9914965986394558,548
TOBG_SP-348.fna,TOBG_IN-1077.fna,0.979165,0.6182065217391305,548
TOBG_ARS-42.fna,TOBG_SP-348.fna,0.9804940000000001,0.8056300268096515,548
TOBG_EAC-24.fna,TOBG_SP-348.fna,0.977849,0.7966804979253111,548
TOBG_IN-1077.fna,TOBG_SP-348.fna,0.979704,0.782312925170068,548
TOBG_SP-348.fna,TOBG_SP-348.fna,0.999999,0.9932065217391305,548
TOBG_ARS-45.fna,TOBG_ARS-45.fna,1.0,0.9885189437428243,983
TOBG_ARS-46.fna,TOBG_ARS-46.fna,1.0,0.9932885906040269,27
TOBG_ARS-4.fna,TOBG_ARS-4.fna,1.0,0.988135593220339,68
TOBG_ARS-51.fna,TOBG_ARS-51.fna,1.0,0.9914599430662872,13
TOBG_NP-5.fna,TOBG_ARS-51.fna,0.983762,0.8525671219971738,13
TOBG_ARS-51.fna,TOBG_NP-5.fna,0.9833759999999999,0.7405449369662465,13
TOBG_NP-5.fna,TOBG_NP-5.fna,1.0,0.987753179463024,13
TOBG_ARS-59.fna,TOBG_ARS-59.fna,1.0,0.9975369458128078,883
TOBG_MED-803.fna,TOBG_ARS-59.fna,0.9381,0.8487874465049928,883
TOBG_SP-156.fna,TOBG_ARS-59.fna,0.954376,0.8125,883
TOBG_ARS-59.fna,TOBG_MED-803.fna,0.939931,0.729064039408867,883
TOBG_MED-803.fna,TOBG_MED-803.fna,1.0,0.9914407988587732,883
TOBG_SP-156.fna,TOBG_MED-803.fna,0.935995,0.7087264150943396,883
TOBG_ARS-59.fna,TOBG_SP-156.fna,0.953511,0.853448275862069,883
TOBG_MED-803.fna,TOBG_SP-156.fna,0.9355929999999999,0.8659058487874465,883
TOBG_SP-156.fna,TOBG_SP-156.fna,1.0,0.9941037735849056,883
TOBG_ARS-5.fna,TOBG_ARS-5.fna,1.0,0.9831591173054588,247
TOBG_ARS-60.fna,TOBG_ARS-60.fna,1.0,0.9971264367816092,535
TOBG_ARS-61.fna,TOBG_ARS-61.fna,1.0,0.9790741915028536,169
TOBG_ARS-62.fna,TOBG_ARS-62.fna,1.0,0.9884816753926702,241
TOBG_EAC-98.fna,TOBG_ARS-62.fna,0.9963599999999999,0.6549618320610687,241
TOBG_ARS-62.fna,TOBG_EAC-98.fna,0.999101,0.912041884816754,241
TOBG_EAC-98.fna,TOBG_EAC-98.fna,1.0,0.9954198473282443,241
TOBG_ARS-63.fna,TOBG_ARS-63.fna,1.0,0.9882777276825969,130
TOBG_ARS-65.fna,TOBG_ARS-65.fna,1.0,0.985398414685023,170
TOBG_ARS-66.fna,TOBG_ARS-66.fna,1.0,0.9846153846153847,43
TOBG_ARS-67.fna,TOBG_ARS-67.fna,1.0,0.9876447876447877,966
TOBG_ARS-68.fna,TOBG_ARS-68.fna,1.0,0.9967141292442497,462
TOBG_ARS-70.fna,TOBG_ARS-70.fna,1.0,0.987667009249743,411
TOBG_SP-284.fna,TOBG_ARS-70.fna,0.981897,0.8763440860215054,411
TOBG_ARS-70.fna,TOBG_SP-284.fna,0.981152,0.512846865364851,411
TOBG_SP-284.fna,TOBG_SP-284.fna,1.0,0.9910394265232975,411
TOBG_ARS-71.fna,TOBG_ARS-71.fna,1.0,0.9906914893617021,987
TOBG_ARS-75.fna,TOBG_ARS-75.fna,1.0,0.9940828402366864,905
TOBG_EAC-662.fna,TOBG_ARS-75.fna,0.9864149999999999,0.8717948717948718,905
TOBG_ARS-75.fna,TOBG_EAC-662.fna,0.98699,0.8313609467455622,905
TOBG_EAC-662.fna,TOBG_EAC-662.fna,1.0,0.9906759906759907,905
TOBG_ARS-76.fna,TOBG_ARS-76.fna,1.0,0.9956958393113343,93
TOBG_ARS-7.fna,TOBG_ARS-7.fna,1.0,0.9934264585045193,624
TOBG_ARS-81.fna,TOBG_ARS-81.fna,1.0,0.9822926374650512,34
TOBG_ARS-86.fna,TOBG_ARS-86.fna,1.0,0.9924357034795764,737
TOBG_SAT-103.fna,TOBG_ARS-86.fna,0.966464,0.868421052631579,737
TOBG_ARS-86.fna,TOBG_SAT-103.fna,0.965773,0.7367624810892587,737
TOBG_SAT-103.fna,TOBG_SAT-103.fna,1.0,0.9929824561403509,737
TOBG_ARS-90.fna,TOBG_ARS-90.fna,1.0,0.9914285714285714,464
TOBG_ARS-93.fna,TOBG_ARS-93.fna,1.0,0.9982593559617058,986
TOBG_ARS-95.fna,TOBG_ARS-95.fna,1.0,0.9906015037593985,764
TOBG_CPC-11.fna,TOBG_CPC-11.fna,1.0,0.9887054735013032,367
TOBG_IN-928.fna,TOBG_CPC-11.fna,0.980154,0.8841657810839533,367
TOBG_NAT-75.fna,TOBG_CPC-11.fna,0.9735689999999999,0.8822463768115942,367
TOBG_NP-156.fna,TOBG_CPC-11.fna,0.9742230000000001,0.8812785388127854,367
TOBG_SP-64.fna,TOBG_CPC-11.fna,0.953637,0.830318690783807,367
TOBG_CPC-11.fna,TOBG_IN-928.fna,0.9791620000000001,0.7211120764552563,367
TOBG_IN-928.fna,TOBG_IN-928.fna,1.0,0.9851222104144527,367
TOBG_NAT-75.fna,TOBG_IN-928.fna,0.9799089999999999,0.7355072463768116,367
TOBG_NP-156.fna,TOBG_IN-928.fna,0.976228,0.7625570776255708,367
TOBG_SP-64.fna,TOBG_IN-928.fna,0.9569570000000001,0.6976744186046512,367
